[149569891127660544],"[t-minus 10 minutes until interview timeeeee. #nervous]",[fear] 
[139481693273853952],"[Step one of The Project complet:) glad:-) very glad:-):-) #happy #basicBASEMENT]",[joy] 
[139163397899030528],"[Not to happy at all tonight #irritated]",[anger] 
[146081539279683584],"[Ive never been so confused in my whole life. #depressed]",[sadness] 
[140051141340839936],"[Well looks like Im not going to the game #Disappointed]",[sadness] 
[142807221363949568],"[Cant sleep :-( #annoyed! x]",[anger] 
[149676307385556992],"[Uhm so Melanie aint all that w/o make-up. #disappointed]",[sadness] 
[142371813958238209],"[Just got 75 out of 50 on my french presentation #excited]",[joy] 
[144284368779743232],"[Ugh You Like The Virus That Took Over My Lap Top #Annoying]",[anger] 
[147517672400228352],"[@FlapJackk_ thank yu bkuz I kud really use it #Thankful]",[thankfulness] 
[138813254892912641],"[Dat nigga JD went 4rm rappin wit Jay Z & doin errbody remixes 2 DJn da club... #Sad]",[sadness] 
[146245027683770370],"[The snow is melting #disappointed]",[sadness] 
[149630913452576769],"[Thinkin bout my actions ! & How ima fix them !:) #Happy]",[joy] 
[146704248908955648],"[@Dannosaurous  Are you going to start using this again?? Cause if you are I will be really #happy :)]",[joy] 
[148500997474484225],"[3 hour nap on a Sunday afternoon listening to Jarvis Cocker #bliss]",[joy] 
[146805586401558528],"[@lilhimy04 thats weird cause I came home to some nice homemade beef stroganoff :) #happy]",[joy] 
[140941169420025856],"[Thank you  @tombrady  for another fantasy football victory #thankful]",[thankfulness] 
[144615762483625984],"[Going to Las Vegas in the morning. :) Wont be back until Monday night! #excited #WhatHappensInVegasStaysInVegas]",[joy] 
[135918529257017344],"[Has anyone noticed the weird change in Facebook where everyone in your news feed is in a relationship? #lonely #fuckit #livingitup]",[sadness] 
[135418800760832001],"[I got a full 10 hours of sleep for the first time in months & Im still tired. #annoyed]",[anger] 
[145923906748952576],"[Here..With my friend @laurasmiiile singing #Morethanthis #love  @zaynmalik  @Harry_Styles  @NiallOfficial  @real_liam_payne  @Louis_Tomlinson]",[love] 
[136850770166427648],"[I better get a B on this exam i studied my ass off! #annoyed]",[anger] 
[141259976290213888],"[Omg. Get away from me #youreannoying #annoyed]",[anger] 
[144530934119661569],"[And that is that. United are out of the Champions League. My prediction was right. #Worrying]",[fear] 
[141378168987721729],"[OF & Waka Before Bed <3 #Love #Sleeptight]",[love] 
[144101969143922688],"[People take things for granted,but if it wasnt for god we wouldnt have anything #sad]",[sadness] 
[146030771071762433],"[Smashing This Red Lobster.  #Smdh These Biscuits>>>  #Bliss]",[joy] 
[145643626360344576],"[Finished first draft of the short script Im working on.  Just sent it to the poet Im working with for notes.  #nervous]",[fear] 
[139550924250157056],"[my mom is cooking some truely amazing things right now ! :)  #LOVE]",[love] 
[141833275894267904],"[Happy St. Andrews Day to all my Scots #Proud]",[joy] 
[138415223630602241],"[Nervous for new trimester :/ #worried]",[fear] 
[134696171733127168],"[Sad day in American college sports. PSU rapes... #disgusted]",[anger] 
[148799181132279808],"[#blessed to see another day..God has done it again #thankful]",[thankfulness] 
[140309682773426176],"[Now this is more like it :) #happy]",[joy] 
[148695994983399424],"[No more homeworks no more midterms no more presentations no more dwam #happy#7mdella]",[joy] 
[144483151153070080],"[A netballers fitness is tragic. #embarrassment]",[sadness] 
[139430720790736896],"[@brian_littrell  we would like to get a chirp from u  @natalie_peer  @luvbsb1264  @maru85argent  one chirp for us please. love you :) #LOVE]",[love] 
[138389054856249344],"[hockey tryouts tomorrow.. cant focus on anything else. #nervous]",[fear] 
[145561755869904896],"[Just because Im a bit younger than everyone else doesnt mean Im not mature enough. #frustrated]",[anger] 
[142433588758061056],"[Its slowly coming together #excited]",[joy] 
[139851787590057985],"[Listening to  @dcfc  and making banana croquets with Morgan and Jax, sweet Thanksgiving #thankful #bananasrock]",[thankfulness] 
[145946311617810432],"[Eppp getting graded today ! #nervous]",[fear] 
[142677822429868033],"[Skipping school to hang out with  @bbrookebrady1  #love]",[love] 
[134830002490449920],"[Shout out @fuckyourdimples go follow her she A-1 #happy]",[joy] 
[139715969303064576],"[@DIRTY479  thanks man. Hope your Thanksgiving is good and blessed. #thankful]",[thankfulness] 
[136006713420689408],"[7 days to go until my birthday! #excited]",[joy] 
[148394594684518401],"[LMAO when my mom bear hugs the ref at the cutter classic..#smh #embarrassing]",[sadness] 
[149261533619294210],"[@emilykatecoyne How could you forget! #Disappointed]",[sadness] 
[138995126100959233],"[@NiallOfficial  bought #UpAllNight today!!!!!! OMG its your first album! #exciting]",[joy] 
[144135263038341121],"[I should have answered his call at 4am last time I got a call like that it wasnt good if anything happens Im to blame=/ #worried]",[fear] 
[147770923880161280],"[Guyss Christmas is in likk a week #excited !!!!!!]",[joy] 
[145421739101405184],"[Ive grown up so much these past couple of months. #proud]",[joy] 
[146819288379031553],"[No le gustan mis chistes... :( #sad]",[sadness] 
[144854412198817792],"[School is almost over!! #happy]",[joy] 
[148225503881474049],"[Later today its @TheFirstLadyLDN Fayre then  @onemic_uk  - #Excited]",[joy] 
[137011666499018752],"[@drdreezy42 your hashtag made my life #love]",[love] 
[144886832562311169],"[Some people were dropped when they were babies.You were clearly thrown against a wall, stepped on, and shot in the face with an M16 #Annoyed]",[anger] 
[134743235271733248],"[Ever since Kolkata in 01 when Laxman and Dravid batted for a day then it was Flintoff it feels like we always wake up to this. #homesick]",[sadness] 
[136641461566447616],"[me and  @MelBar11  and Sheldon and Glitter had a very successful snuggling session (say that with a lisp) tonight. #glee #newgirl #happy <3 :)]",[joy] 
[140266339767033856],"[@OnlyPaula1  hey. . i got reply from andrea. . #happy]",[joy] 
[140545089314365441],"[white soy mocha. #happiness #butseriously]",[joy] 
[145237667280453632],"[10 days until my birthday! eeek #excited]",[joy] 
[147623712047370242],"[@adibahkhir  I was happy lol #sad]",[sadness] 
[149290361796296705],"[Gonna hide out in the bathroom for a few minutes. #sad #needabreak #tiredofworking]",[sadness] 
[136904533212270592],"[Twitter Board members are staring at my timeline #nervous]",[fear] 
[147216500581871616],"[@MyKittyShine lmfao! Guess who I see?! Remember the last time we came to Dream in MIA the dude I was dancing w/?! #embarrassed lmfao]",[sadness] 
[142033439816814592],"[A year today i moved in with the boyfriend :) how a year has flown by #happy]",[joy] 
[142343459582390272],"[@_marionnette  Non, cest pas drôle. JONGHYUN DOIT DOMINER. Mais jai trouvé un moyen pour te faire te calmer.......... #SURPRISE]",[surprise] 
[147750879880167424],"[@bethstockton  its not like i want to be in here isit. pfft, youll have a good night without me anyway #lonely]",[sadness] 
[136997823316099072],"[Lawdddd ! This is what technology does too mee ! )= #Depressed]",[sadness] 
[148183110192861184],"[Cant believe I heard from oomf today! #surprised]",[surprise] 
[147387259484766208],"[My mom can change my whole mood in a matter of two seconds. #annoyed]",[anger] 
[135943120402657280],"[Por las Primadonnas que lloramos al ver el PV de Distance .. <3 #Proud]",[joy] 
[147320158678036481],"[I just tripped up the stairs... Hahahahah #imsoclumsy #embarrassing]",[sadness] 
[148245520404590594],"[Is it okay that I can say I dont know how to make gunshots in FCP? #embarrassed]",[sadness] 
[146540814863052800],"[Watching ESPN and it hit me, what the hell is going on in the sports world with all these sick minded coaches !?!?! #disgusted]",[anger] 
[138037152809353216],"[Pinapple coconut rum mixed sangria...#Bliss]",[joy] 
[143086102364954624],"[Jus got home from Lil bruda game#proud]",[joy] 
[137213801643782144],"[Sooo... Sean said that for my #Birthday hes gonna take me shopping while were down in Dallas =D #Excited!! #CantWait]",[joy] 
[146650223622631424],"[Lost 3.8lbs - got 25lbs to go! #excited]",[joy] 
[148137394229608448],"[I dont care what my calendar says it is not Christmas in 8 days, I dont feel festive at all #Depressing]",[sadness] 
[142845801872367617],"[i asked my roommate to make me noodles..she only made herself noodles #love @YOUAdore_Cee]",[love] 
[144630744797552640],"[I stand corrected!  @10TV  you waited until 11:11... #surprise]",[surprise] 
[147900003627704321],"[@JessicaLomasson  I need a folder my clothes are already way too wrinkly! Look at you tweeting away! #proud]",[joy] 
[139768626558414848],"[Happy over-eat and feel bad about yourself after day; i mean thanksgiving! =D Be thankful for everything you have! =] #thankful]",[thankfulness] 
[135875404866134016],"[@aclinton26  haha lets hope so!! #nervous]",[fear] 
[143050340995047424],"[This boy so extra! #Made]",[sadness] 
[140862083729342464],"[Some people still cant figure out how to #love]",[love] 
[139191650076475393],"[Starbucks with amazing people #thankgoodnesss #love]",[love] 
[145172058744168448],"[Waiting at the doctors. They take forever!! And  now Im late for work:/ #annoyed]",[anger] 
[140141878396985344],"[First time in 4 years that I didnt go wait on line for Black Friday #disappointed]",[sadness] 
[145038099104272385],"[@kendofizzal  dont call me out like that... #embarrassing #buttrue]",[sadness] 
[146562679279067137],"[Look out ARHS , #badmood #hateful]",[love] 
[138032057753419777],"[i really wanna bake something christmasy but its tooo early! chrimbo needs to hurry up! #excited]",[joy] 
[139417365866758144],"[Wow, Twitter is actually pretty cool. #surprised]",[surprise] 
[134732536403337216],"[Just left the phone store got my new phone #happy]",[joy] 
[147157749560651776],"[@Kirstenmac04  @sunnykhor09 wow thanks no need to include the paraplegic or anything .... #disappointed]",[sadness] 
[140355034020974593],"[My alarm just never works on a saturday, #Annoying !]",[anger] 
[139195767696003072],"[I wanna go home now #homesick]",[sadness] 
[148632190673104896],"[@JustATweetHeart  @x_NinaRose y yu have to ruin my moment tho.?? #Hurt]",[sadness] 
[139737452934987776],"[Happy Thanksgiving!  Count your blessings. #thankful]",[thankfulness] 
[139404679988781057],"[Smh blew 450 in a couple hours. #Hurt.]",[sadness] 
[146284589709668352],"[@Connolly_Music  @the_david_wong  @dethviolin  thanks for the tip.  We are onto them. All about true, honest networking!  #THANKFUL #gratitude]",[thankfulness] 
[136062910882529281],"[Dear security guard, Y must u yell in punjabi about all ur lady problems! I realize its almost 5am. But gawd, keep It down!! #annoyed]",[anger] 
[137385381464256512],"[I wish they would already start the movie! #excited]",[joy] 
[144287570333941762],"[ok path is actually pretty cool.. #surprised]",[surprise] 
[143496784822538240],"[Listening to the kids sing christmas carols, job hunting and just had coffee with Peter. #happiness :)]",[joy] 
[139583600898220033],"[If you wit be with me and just me not texting in my face #annoying]",[anger] 
[143792173945593856],"[I love my roommates #thankful #blessed]",[thankfulness] 
[135526354912423936],"[I love #odu standing ovation on the way out from a basketball game, thats #love]",[love] 
[139065419146334208],"[Shopping for all of thanksgiving when Wegmans is a zoo and I have a long list brings me #enjoyment]",[joy] 
[135049842220204032],"[@bigjstl  @u2acro  Thats the word on the street.  Will you?  OMG, get to meet you FINALLY? #Thrilled]",[joy] 
[148057427223379968],"[Its funny how, as theyve aged, the best looking Rolling Stone is now Charlie Watts #rage]",[anger] 
[144458976698970116],"[#relationships - How you communicate is often just as important as WHAT you communicate. #Thinkabout #Love]",[love] 
[137642878842314753],"[i got my 180th follower again lol #happy]",[joy] 
[138923958853578752],"[In talks with plans for the old 30th shindig with Paramount Pictures #exciting]",[joy] 
[141075671312109568],"[First day of school and Im knackered and need to wash my hair #notcool. #nervous.]",[fear] 
[143253195660066816],"[« @MorganLoko  Half of the people we used to chill with every weekend we dont even see anymore #sad»]",[sadness] 
[138637075145687040],"[Good morning  @reneemmartinez  @mimibakerMN  @lttlewys  @prosperitygal  and other #UsGuys !!!]",[thankfulness] 
[138824222213545984],"[Goin to bed early... #exhausted #frustrated #AngryTweet]",[anger] 
[135903272295858176],"[This is my final attempt to update this Apple software...#irritated]",[anger] 
[142400335745527809],"[I hope threw all this rain im putting my self through the sun is shinning brighter then ever #depressed]",[sadness] 
[141921477984399361],"[This no coffee thing is going to get ugly for someone!!!!!!!!!!!!!!!!!!!! #irritated]",[anger] 
[144976426960039936],"[My phone freezes but still gets texts and wont let me check them #depressing]",[sadness] 
[140896247262347264],"[I Love a Female with Confidence.#LOVE]",[love] 
[145489929668014080],"[Here it goessss #nervous #benice]",[fear] 
[144502454757769216],"[I wanna take a nap not go to fucking work #annoyed]",[anger] 
[140642648057851904],"[Facebook wont let me upload photos daaaaaaammmnn it. #annoyed]",[anger] 
[138973957444468736],"[Riding backwards on a train to the big NYC. #leggo #excited]",[joy] 
[139765249141243904],"[Remember that phone call till 2 am? I do.. #thankful]",[thankfulness] 
[145280156527886336],"[Lack of planning on your part does not constitute an emergency on mine #Irritated]",[anger] 
[138980613339357184],"[And all I need is one fuckin sheet stamped! #rage]",[anger] 
[142726768116248576],"[This is the worst part of drama... #lonely]",[sadness] 
[142710574525059072],"[@ChelseeaLoveee why is you no talking? Teltie! #love]",[love] 
[143537991460200448],"[I know that from today on I will ALWAYS stand up for others being bullied. Forever #Jonah #Pride #kids]",[joy] 
[148160380768747521],"[i hate it when i have nothing to wear #frustrating]",[anger] 
[147400063289794560],"[So Yu cnt sign One sheet of paper!!!! #sad]",[sadness] 
[142129027841400832],"[Just in time to buy my early morning Akara... #Bliss]",[joy] 
[147531294274883585],"[Everyones getting promise rings...4 1/2 years and I dont have one...#sad]",[sadness] 
[135622546551869440],"[Parents are coming at noon #excited]",[joy] 
[137983622874546177],"[Anyway... Im a Ginger again and I think Ill end up with a but of auburn hair. I guess well see. #surprise]",[surprise] 
[148149693019471872],"[Watching beauty and the beast #love]",[love] 
[137378955673083904],"[On my way to see Breaking Dawn :  ) #Anxious !]",[fear] 
[137730923809619968],"[@AustinMahone  did a cover for jenna by my favorite song count on me. I Told him like 100times, he still doesnt know I exist! </3 #depressing]",[sadness] 
[139370732676321280],"[@BongsandTaylors  awwww my bay cumn ova 2 #love]",[love] 
[148605358351454209],"[Im speechless I cant even think properly #greatful #thankful]",[thankfulness] 
[137019714944778240],"[I remember when we used to call eachother bestfriends.. Now.. Its all a blur.. & nothing fits in that category now.. #Hurt]",[sadness] 
[148789863997644800],"[Is even more excited about tomoro night at Mansion House, G-Town, now i have my dress etc all sorted :D!! 1 more sleep  @GazGShore  #excited X]",[joy] 
[138745219075158023],"[I dont understand u at all!! #annoying]",[anger] 
[139118060056481793],"[Why waste your time, gettin hurt by someone... When theres someone else out there waiting to make you #happy :)]",[joy] 
[147128403856867328],"[Ill be home Next Thursday.... #excited]",[joy] 
[140766508669353984],"[back to Italy in 10 days after 1 year and keep wondering how my country looks like. #worried]",[fear] 
[146799913135648769],"[Bout to spend my last night in the library for a minute #happy]",[joy] 
[146543605350273025],"[Gutted. Just leapt out of bed coz heard the post lady knock.meaning something didnt fit. (my skate stuff)  turns out it wasnt. #disappointed]",[sadness] 
[140502397872111616],"[So I wake up n I hear long gun shot n it my dad beating my brother at black ops #sad]",[sadness] 
[144946848963108865],"[Most people support someone the dont know vs someone they do know.....#sad]",[sadness] 
[137919128085348352],"[Terry and Julies wedding! #anxious]",[fear] 
[139115749334724608],"[7 more hours off for 5 days #WINNING #thankful]",[thankfulness] 
[143490684207378434],"[I feel like my bedroom makes me hate life. And I dont know why #depression #sadness #unproductivity]",[sadness] 
[135100194013454337],"[@stevemagness  is trying to kill me. 2x15 seconds uphill sprint tonight. #nervous]",[fear] 
[141318151731294208],"[@ItsIsra_  awwww! I miss you too sis! Very much. I cant wait to see you again. We need to spend some #tWintime!!!!! #love]",[love] 
[135020900348211200],"[@kipwise  Youre welcome. xoxo #appreciate #thankful]",[thankfulness] 
[140914529063288832],"[Wow so no pass interference on molden?.. #SAD]",[sadness] 
[144621454762323968],"[my dad wont stop sending me dumbass forwards!! #ANNOYED]",[anger] 
[147691903918415872],"[If we both want the same thing, you gotta meet me half way... #Anxious]",[fear] 
[145167383932313600],"[Gm Yall! Children laugh about 400 times a day, while adults laugh on average only 15 times a day. So lets have a happy Friday! #Joyful]",[joy] 
[137076104442806273],"[Tomorrow must just come already #excited!]",[joy] 
[138447625669197824],"[This banana berry milkshake on point! #love]",[love] 
[140153577460084736],"[I waited all season for this game. Not what I had hoped for... #disappointed]",[sadness] 
[149313403972886528],"[IMMA TREAT HER LIKE MY GIRL SINCE SHE FORGIVE ME FOR MY WRONGS #Love]",[love] 
[141889709398962176],"[That moment when everything clicks #happiness]",[joy] 
[146431424562610177],"[Bitch, dont blame this on me. #annoyed]",[anger] 
[149685647865688064],"[Pretty little liars and switched at birth in January. #excited]",[joy] 
[142738109602340864],"[@Reneebrinksx  @rosannees  @xilsexxxx  love you toooo all of the three hahaha#love]",[love] 
[143803621669220352],"[remembering Saturday night screaming the lyrics to mr brightside to my sisters friends and looking like a man #embarrassing]",[sadness] 
[140558158501380096],"[Wish the internet would stop being a poo brain! #annoying]",[anger] 
[138696329584066562],"[Blah , i cant explain to myself exactly why i feel like this ??? so ima stay to myself for the rest of the week #annoyed]",[anger] 
[148783493973950465],"[Your voice kills me #shutup #annoying]",[anger] 
[149212030879023105],"[That show Friendzone is definitely based on true stories #sad]",[sadness] 
[141020774428454912],"[@emdress  sooo sad i wont have a plane partner on my way back tomorrow:( #lonely]",[sadness] 
[148871610827423744],"[It pisses me off when someone has told me they are going to take me to do something, and then changes there mind once again . #irritated.]",[anger] 
[149251491797020672],"[Just got so overwhelmed and discouraged. Trying not to cry/breakdown/pull my hair out. #disappointed]",[sadness] 
[143030448967258113],"[Just had a four hour road lesson. #annoying]",[anger] 
[149682767674884096],"[Tonights one of those night where I wanna lay with you talk and fall asleep in your arms. #love]",[love] 
[139546734207582209],"[Reunited and it feels sooooo good!! @manders1624  @bgussss  #love]",[love] 
[143103335753461760],"[This will be the first year my baby is in the christmas parade. #excited]",[joy] 
[147604168918564864],"[Im about to die. #nervous]",[fear] 
[146933325423063040],"[meteor rain at 9pm... #cantwait #excited]",[joy] 
[140827202622193664],"[Hate when boyfriend leaves #lonely]",[sadness] 
[136110926574264321],"[ordering a usf jacket!! #excited.]",[joy] 
[137723697623601152],"[Its called bestiality, &its #ILLEGAL and #DISGUSTING.]",[anger] 
[148251342698332160],"[Thanks 4 the #light! Thanks 4 the #life! Thanks 4 the #love!]",[love] 
[138643989296459776],"[Even though everything.... Im #Happy  :)]",[joy] 
[137642578530156547],"[Im blessed. #elhamdollah #happy]",[joy] 
[140098875145986049],"[Goin to drive the little bug around town! #excited]",[joy] 
[148197389029736448],"[wake up, wake up, I dont wanna wake up, wake up... #thinking #frustrated]",[anger] 
[146724047353425920],"[Diario de una pasion en el 34 (I-SAT) #love]",[love] 
[134988532522557440],"[nxa! i hate to c pregnant teenagerz #disgusted]",[anger] 
[145720287915294720],"[Got me some crreraaccckkkllee #excited]",[joy] 
[139035126012194816],"[Can you say tan lines?:D #excitement]",[joy] 
[147430799698968576],"[The juniors and seniors both are pretty ridiculous if theyre fighting about whose better. I know Im just a sophomore but damnnn. #annoying]",[anger] 
[143400819537092608],"[@ZanderL70 Luckkyy!]",[sadness] 
[144288794156335104],"[Really thinking about going swimming with the dolphins this weekend #exciting]",[joy] 
[139508858954588161],"[Laying on my sisters shoulder #love #family]",[love] 
[147707436273377281],"[When the kid you ride to shook with has terrible breath < mouth wash, use it, bro. #disgusted]",[anger] 
[149712935395143681],"[Its so weird how things work out sometimes... #thankful #grateful #blessed]",[thankfulness] 
[142341005046321152],"[Holiday confession time...The worst present I ever received was "___________"!]",[sadness] 
[134971541082476544],"[Had a dream last night that I was jogging down 1st street in SHA. #homesick]",[sadness] 
[135397476726345728],"[Ok...  Why are men so clueless sometimes?  I seriously would like to know. #Frustration!!!]",[anger] 
[141267579133100034],"[Just got caught in the middle of a couple of black guys bro hug/snap thing. Again, #embarrassing #ineedtostopgoingtoclass]",[sadness] 
[148886364568555520],"[I dont understand how people can abuse animals the way they do. Its absolutley #disgusting]",[anger] 
[149183185085931520],"[Banning myself from doing anymore christmas shopping #excited]",[joy] 
[141947019735470080],"[Cant wait until Christmas :) #homewithyou #presents #love]",[love] 
[135103053207568384],"[If Alex Leave After The Break Im Turning My Tv Off Straight #RAGE #bbuk]",[anger] 
[143582210199531520],"[@DaColedest  thanks for the twitter name #straightswag]",[joy] 
[146094886440009728],"[seriously cowboys? SERIOUSLY?! we are becoming the texas a&m of the NFL. #embarrassing]",[sadness] 
[141945100216446976],"[@raybakes93 your funny. i smell i hint of jealousy? #sad]",[sadness] 
[137655507744862209],"[@haygoodfan1990 i get to see my cousin thats in the navy tomorrow! i havnt seen him in...i dont even remeber how long! #excited]",[joy] 
[148580821782118400],"[I wonder why I get fat Im making cookies #Sad]",[sadness] 
